label	Kindom	Abundance
BACasv980	Bac	0.0023625
BACasv981	Bac	0.00846475
BACasv982	Bac	0.003562875
BACasv983	Bac	0.002626163
BACasv984	Bac	0.002626163
BACasv985	Bac	0.005476463
BACasv986	Bac	0.003309675
BACasv987	Bac	0.00154875
BACasv988	Bac	0.00154875
BACasv989	Bac	0.0040653
BACasv990	Bac	0.0040653
BACasv991	Bac	0.0040653
BACasv992	Bac	0.003603138
BACasv998	Bac	0.003887838
BACasv999	Bac	0.002462688
BACasv1000	Bac	0.00189
BACasv1001	Bac	0.00189
BACasv1002	Bac	0.00189
BACasv1003	Bac	0.0034657
BACasv1004	Bac	0.00189
BACasv1005	Bac	0.006234488
BACasv1006	Bac	0.0028503
BACasv1007	Bac	0.002100925
BACasv1008	Bac	0.002100925
BACasv1009	Bac	0.003518425
BACasv1010	Bac	0.00123875
BACasv1011	Bac	0.00325225
BACasv1012	Bac	0.00325225
BACasv1013	Bac	0.00325225
